display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,page_result_type,outcome_inference_method,outcome_inference_confidence
Jean-Baptiste Kléber,https://en.wikipedia.org/wiki/Jean-Baptiste_Kl%C3%A9ber,battle_8720896,Second Battle of Cholet,battle_article,side_a,French Republican victory,victory,unknown,low
François Séverin Marceau,https://en.wikipedia.org/wiki/Fran%C3%A7ois_S%C3%A9verin_Marceau,battle_8720896,Second Battle of Cholet,battle_article,side_a,French Republican victory,victory,unknown,low
François Joseph Westermann,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Westermann,battle_8720896,Second Battle of Cholet,battle_article,side_a,French Republican victory,victory,unknown,low
Charles de Bonchamps,https://en.wikipedia.org/wiki/Charles_de_Bonchamps,battle_8720896,Second Battle of Cholet,battle_article,side_b,French Republican victory,victory,unknown,low
Henri de la Rochejaquelein,https://en.wikipedia.org/wiki/Henri_de_la_Rochejaquelein,battle_8720896,Second Battle of Cholet,battle_article,side_b,French Republican victory,victory,unknown,low
Jean-Nicolas Stofflet,https://en.wikipedia.org/wiki/Jean-Nicolas_Stofflet,battle_8720896,Second Battle of Cholet,battle_article,side_b,French Republican victory,victory,unknown,low
Charles Aimé de Royrand,https://en.wikipedia.org/wiki/Charles_Aim%C3%A9_de_Royrand,battle_8720896,Second Battle of Cholet,battle_article,side_b,French Republican victory,victory,unknown,low
Henri de la Rochejaquelein,https://en.wikipedia.org/wiki/Henri_de_la_Rochejaquelein,battle_20726832,Siege of Angers,battle_article,side_b,Republican victory,victory,unknown,low
Jean-Nicolas Stofflet,https://en.wikipedia.org/wiki/Jean-Nicolas_Stofflet,battle_20726832,Siege of Angers,battle_article,side_b,Republican victory,victory,unknown,low
Jacques François Dugommier,https://en.wikipedia.org/wiki/Jacques_Fran%C3%A7ois_Dugommier,battle_1964536,Siege of Toulon (1793),battle_article,side_a,French Republican victory,victory,unknown,low
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,battle_1964536,Siege of Toulon (1793),battle_article,side_a,French Republican victory,victory,unknown,low
Sidney Smith,https://en.wikipedia.org/wiki/Sidney_Smith_(Royal_Navy_officer),battle_1964536,Siege of Toulon (1793),battle_article,side_b,French Republican victory,victory,unknown,low
Juan de Lángara,https://en.wikipedia.org/wiki/Juan_de_L%C3%A1ngara,battle_1964536,Siege of Toulon (1793),battle_article,side_b,French Republican victory,victory,unknown,low
Federico Gravina,https://en.wikipedia.org/wiki/Federico_Gravina,battle_1964536,Siege of Toulon (1793),battle_article,side_b,French Republican victory,victory,unknown,low
Stanisław Mokronowski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Mokronowski,battle_70349334,Battle of Błonie (1794),battle_article,side_a,Polish victory,victory,unknown,low
Paul Kray,https://en.wikipedia.org/wiki/Paul_Kray,battle_42485729,Battle of Le Cateau (1794),battle_article,side_a,Coalition victory,victory,unknown,low
Jean-Charles Pichegru,https://en.wikipedia.org/wiki/Jean-Charles_Pichegru,battle_31610933,Battle of Mouscron,battle_article,side_a,French victory,victory,unknown,low
Joseph Souham,https://en.wikipedia.org/wiki/Joseph_Souham,battle_31610933,Battle of Mouscron,battle_article,side_a,French victory,victory,unknown,low
"François Sébastien Charles Joseph de Croix, Count of Clerfayt",https://en.wikipedia.org/wiki/Fran%C3%A7ois_S%C3%A9bastien_Charles_Joseph_de_Croix%2C_Count_of_Clerfayt,battle_31610933,Battle of Mouscron,battle_article,side_b,French victory,victory,unknown,low
Bon-Adrien Jeannot de Moncey,https://en.wikipedia.org/wiki/Bon-Adrien_Jeannot_de_Moncey,battle_27585762,Battle of the Baztan Valley,battle_article,side_a,French victory,victory,unknown,low
Agha Mohammad Khan Qajar,https://en.wikipedia.org/wiki/Agha_Mohammad_Khan_Qajar,battle_70671884,Siege of Kerman,battle_article,side_b,Qajar victory • Fall of the Zand dynasty,victory,unknown,low
Lazare Hoche,https://en.wikipedia.org/wiki/Lazare_Hoche,battle_17097620,Invasion of France (1795),operation_article,side_a,French Republican victory,victory,unknown,low
Petar I Petrović-Njegoš,https://en.wikipedia.org/wiki/Petar_I_Petrovi%C4%87-Njego%C5%A1,battle_24732844,Battle of Krusi,battle_article,side_a,Decisive Montenegrin victory,decisive_victory,unknown,low
Petar I Petrović-Njegoš,https://en.wikipedia.org/wiki/Petar_I_Petrovi%C4%87-Njego%C5%A1,battle_51118231,Battle of Martinići (1796),battle_article,side_a,Montenegrin victory,victory,unknown,low
Jean-Baptiste Kléber,https://en.wikipedia.org/wiki/Jean-Baptiste_Kl%C3%A9ber,battle_57539827,Battle of Siegburg,battle_article,side_a,French victory,victory,unknown,low
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,battle_73595416,Battle of Amritsar (1798),battle_article,side_a,Sikh victory,victory,unknown,low
John Murphy,https://en.wikipedia.org/wiki/John_Murphy_(priest),battle_3648366,Battle of Tubberneering,battle_article,side_a,United Irish victory,victory,unknown,low
John Murphy,https://en.wikipedia.org/wiki/John_Murphy_(priest),battle_877358,Irish Rebellion of 1798,war_conflict_article,side_a,Victory,victory,unknown,low
Ralph Abercromby,https://en.wikipedia.org/wiki/Ralph_Abercromby,battle_877358,Irish Rebellion of 1798,war_conflict_article,side_b,Victory,victory,unknown,low
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,battle_25343,Quasi-War,war_conflict_article,side_b,Convention of 1800,unknown,unknown,low
Pierre-Charles Villeneuve,https://en.wikipedia.org/wiki/Pierre-Charles_Villeneuve,battle_25161934,Siege of Malta (1798–1800),battle_article,side_b,Allied victory,victory,unknown,low
"Francis II, Holy Roman Emperor",https://en.wikipedia.org/wiki/Francis_II%2C_Holy_Roman_Emperor,battle_408741,War of the Second Coalition,war_conflict_article,side_a,French victory,victory,unknown,low
Tipu Sultan,https://en.wikipedia.org/wiki/Tipu_Sultan,battle_408741,War of the Second Coalition,war_conflict_article,side_b,French victory,victory,unknown,low
Friedrich Freiherr von Hotze,https://en.wikipedia.org/wiki/Friedrich_Freiherr_von_Hotze,battle_45466374,Battle of Feldkirch,battle_article,side_a,French victory (1st) Austrian victory (2nd),victory,unknown,low
Franjo Jelačić,https://en.wikipedia.org/wiki/Franjo_Jela%C4%8Di%C4%87,battle_45466374,Battle of Feldkirch,battle_article,side_a,French victory (1st) Austrian victory (2nd),victory,unknown,low
Nicolas Oudinot,https://en.wikipedia.org/wiki/Nicolas_Oudinot,battle_45466374,Battle of Feldkirch,battle_article,side_b,French victory (1st) Austrian victory (2nd),victory,unknown,low
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,battle_45466374,Battle of Feldkirch,battle_article,side_b,French victory (1st) Austrian victory (2nd),victory,unknown,low
"Nizam Ali Khan, Asaf Jah II",https://en.wikipedia.org/wiki/Nizam_Ali_Khan%2C_Asaf_Jah_II,battle_2049720,Siege of Seringapatam (1799),battle_article,side_a,British victory Fall of the Mysore Kingdom,victory,unknown,low
Tipu Sultan,https://en.wikipedia.org/wiki/Tipu_Sultan,battle_2049720,Siege of Seringapatam (1799),battle_article,side_b,British victory Fall of the Mysore Kingdom,victory,unknown,low
Laurent de Gouvion Saint-Cyr,https://en.wikipedia.org/wiki/Laurent_de_Gouvion_Saint-Cyr,battle_554733,War of the Oranges,war_conflict_article,side_b,Victory,victory,unknown,low
Yashwantrao Holkar,https://en.wikipedia.org/wiki/Yashwantrao_Holkar,battle_26709816,Battle of Deeg,battle_article,side_b,Jat victory,victory,unknown,low
